sentence_position,sentence_count,paragraph_position,paragraph_length
15,16,5,6
14,22,6,7
1,6,1,5
12,41,1,6
3,24,3,4
5,5,5,5
3,3,3,3
7,9,7,7
7,9,7,7
3,7,3,5
5,17,5,6
9,9,2,2
11,20,1,4
11,22,3,12
8,11,2,2
2,8,1,1
7,49,1,5
2,3,2,2
1,7,1,1
2,2,2,2
7,14,1,3
7,14,1,3
4,9,2,4
1,34,1,16
11,15,2,5
1,56,1,1
5,8,1,4
8,9,1,2
1,10,1,10
21,23,1,1
21,23,1,1
1,4,1,1
14,16,4,4
28,43,3,6
5,11,5,6
5,11,5,6
7,11,7,10
7,11,7,10
1,17,1,3
17,17,3,3
1,18,1,2
3,15,3,15
1,6,1,6
3,6,2,3
9,17,2,5
25,32,6,7
7,10,7,8
8,10,2,2
8,29,7,7
16,29,4,4
16,21,2,3
15,23,7,7
1,7,1,7
4,11,4,4
2,9,2,3
2,8,2,3
2,3,1,2
6,7,2,3
8,8,3,4
2,5,2,2
6,22,4,4
6,22,4,4
2,28,2,6
2,4,1,3
5,7,5,7
3,16,3,4
43,47,2,5
25,28,1,5
5,19,3,4
8,19,2,2
12,27,5,8
1,8,1,1
1,8,1,1
19,21,3,5
7,8,3,4
42,42,5,6
4,10,1,5
9,10,1,2
