sentence_position,sentence_count,paragraph_position,paragraph_length
1,25,1,1
24,25,4,4
14,14,1,1
25,49,1,3
28,49,1,2
25,49,1,3
28,49,1,2
6,18,2,3
15,18,3,4
6,18,2,3
15,18,3,4
4,8,2,3
7,8,2,3
1,12,1,4
3,4,3,4
6,6,4,4
9,10,4,6
5,5,1,1
2,3,2,3
4,7,4,7
7,7,7,7
1,5,1,5
4,5,4,5
1,39,1,6
5,39,5,6
6,39,6,6
17,39,4,9
20,39,7,9
26,39,4,5
34,39,7,8
1,10,1,1
7,10,1,1
10,10,1,1
8,9,4,5
3,7,3,3
14,14,6,6
13,13,13,13
9,11,2,3
12,15,1,1
2,3,2,3
4,8,2,5
8,8,1,1
6,6,3,3
6,6,3,3
7,15,3,4
15,15,1,1
2,5,2,2
4,6,4,6
6,8,6,8
8,8,8,8
13,26,1,2
23,26,3,4
24,26,4,4
3,5,3,4
3,5,3,4
1,12,1,1
12,12,1,1
2,3,2,3
5,5,5,5
3,13,2,2
10,13,2,2
9,26,4,6
20,26,1,1
22,26,2,4
4,10,4,5
9,10,4,5
10,10,5,5
2,22,2,4
13,22,5,7
2,10,2,2
2,7,2,7
5,7,5,7
1,13,1,1
4,13,2,2
6,13,2,5
10,13,1,5
13,13,5,5
8,16,2,10
6,6,6,6
1,20,1,2
9,20,1,1
15,20,1,1
20,20,2,2
5,19,4,4
17,19,2,5
1,7,1,6
1,32,1,4
13,32,1,7
15,32,3,7
18,32,6,7
28,32,9,12
29,32,10,12
31,32,12,12
8,20,3,3
13,20,4,4
3,17,3,3
14,17,9,11
5,17,2,2
17,17,3,3
3,10,3,5
2,4,2,4
2,17,2,4
8,17,4,5
9,17,5,5
10,17,1,5
13,17,4,5
2,9,2,5
3,9,3,5
5,23,1,1
6,23,1,2
9,23,2,3
13,23,2,2
1,60,1,1
18,60,1,2
22,60,3,3
34,60,1,2
52,60,1,1
8,25,3,5
12,25,2,3
25,25,1,3
2,8,1,4
3,8,2,4
7,8,2,3
7,10,2,5
4,5,1,2
1,16,1,6
2,16,2,6
10,11,1,2
11,11,2,2
1,12,1,2
10,12,1,3
2,5,1,4
5,5,4,4
1,12,1,2
10,12,1,3
9,11,4,5
10,11,5,5
6,15,2,2
1,8,1,1
1,12,1,3
5,12,1,6
6,12,2,6
7,12,3,6
4,8,4,4
1,2,1,2
5,6,2,2
6,6,1,1
1,5,1,2
3,5,1,3
3,5,3,5
4,5,4,5
12,13,1,2
10,19,2,5
17,27,2,5
10,13,3,4
3,11,1,2
11,11,1,1
4,10,3,3
4,13,4,4
10,13,2,5
12,13,4,5
4,6,1,3
1,8,1,5
3,8,3,5
3,4,2,3
4,8,4,4
4,28,2,2
10,28,6,6
11,28,1,2
10,36,10,12
24,36,7,8
26,36,1,4
7,37,1,8
13,37,7,8
17,37,3,4
18,37,4,4
7,37,1,8
13,37,7,8
17,37,3,4
18,37,4,4
8,21,1,3
21,21,1,1
3,22,1,4
18,22,1,4
8,11,1,2
20,22,3,4
22,22,2,2
20,22,3,4
22,22,2,2
6,24,2,6
7,34,2,2
10,34,3,5
16,34,2,5
