sentence_position,sentence_count,paragraph_position,paragraph_length
4,12,2,2
15,25,2,2
1,18,1,3
7,18,2,4
11,18,2,6
15,18,6,6
17,21,1,3
18,20,4,5
4,13,4,5
1,7,1,7
2,7,2,7
5,14,5,7
1,8,1,6
3,8,3,6
8,8,2,2
11,12,2,3
2,2,2,2
1,15,1,6
7,15,1,4
13,15,3,4
14,15,4,4
15,15,1,1
5,12,5,5
3,8,3,3
2,2,1,1
13,13,5,5
6,10,1,3
3,11,1,3
1,1,1,1
7,7,4,4
9,27,1,1
23,27,6,6
24,27,1,1
19,34,1,1
23,34,4,4
12,24,3,9
22,24,4,6
23,24,5,6
3,9,1,1
4,9,1,1
2,5,2,2
4,4,4,4
1,5,1,5
5,5,5,5
6,32,1,2
2,9,2,2
2,22,2,2
8,22,3,3
3,3,2,2
4,4,1,1
6,9,2,2
9,9,1,1
11,36,4,4
14,36,3,5
15,36,4,5
17,36,1,2
24,36,1,4
28,36,1,3
36,36,2,2
6,31,3,7
10,31,7,7
29,31,2,4
3,7,3,3
4,7,1,1
5,7,1,3
1,7,1,1
4,7,3,4
1,28,1,2
3,12,3,5
6,12,1,1
2,18,2,2
3,17,3,7
7,11,7,11
11,11,11,11
4,16,4,7
8,16,1,3
18,27,3,5
6,11,4,9
4,45,2,2
11,45,3,4
24,45,7,9
25,45,8,9
30,45,4,7
33,45,7,7
36,45,3,10
38,45,5,10
40,45,7,10
43,45,10,10
7,7,2,2
1,2,1,1
2,3,2,2
3,3,1,1
1,3,1,3
9,14,4,5
11,14,1,4
13,14,3,4
9,9,1,1
17,17,3,3
6,13,2,9
3,19,3,5
12,19,1,4
13,19,2,4
1,8,1,1
1,5,1,2
2,5,2,2
8,36,3,4
19,36,1,3
1,15,1,1
2,24,2,3
16,24,3,7
1,1,1,1
2,2,1,1
31,35,2,2
32,35,1,1
7,7,2,2
12,15,3,6
1,1,1,1
1,14,1,2
7,14,2,2
13,14,1,2
2,14,2,2
11,14,3,3
1,8,1,1
1,12,1,5
12,12,3,3
6,11,4,6
10,11,1,2
9,23,1,1
3,4,1,2
9,22,6,7
1,15,1,4
10,18,7,7
10,11,2,3
11,11,3,3
1,3,1,3
2,3,2,3
3,3,3,3
3,16,3,3
13,16,1,3
15,16,3,3
17,20,2,5
11,21,2,4
2,31,1,5
5,31,4,5
6,38,1,1
32,38,1,3
14,72,8,9
28,72,1,4
2,16,2,2
4,7,1,4
7,9,3,3
3,3,2,2
5,5,5,5
4,10,1,3
6,10,3,3
9,9,5,5
3,21,2,2
15,21,1,2
2,16,2,4
3,16,3,4
4,16,4,4
6,16,2,10
7,16,3,10
10,16,6,10
16,16,2,2
5,7,5,7
6,7,6,7
1,6,1,2
4,16,4,4
16,16,4,4
