sentence_position,sentence_count,paragraph_position,paragraph_length
5,7,1,3
4,11,4,4
3,3,3,3
20,27,6,9
24,24,4,4
6,6,3,3
7,7,4,4
4,6,3,3
16,26,4,10
11,11,1,1
11,11,2,3
10,20,2,2
10,11,2,2
8,11,3,6
10,15,10,10
3,14,3,3
12,45,1,3
3,10,2,3
3,4,1,2
4,5,1,2
16,37,3,3
1,9,1,1
14,16,3,4
11,19,8,8
9,9,6,6
51,73,11,12
37,46,13,13
15,39,4,6
6,8,1,3
4,6,4,6
12,13,1,2
33,33,2,2
25,52,7,7
2,5,2,2
5,7,3,3
8,19,3,4
15,19,2,6
5,7,5,5
7,12,4,5
12,21,1,1
11,42,6,13
9,14,1,1
2,5,1,1
9,16,5,9
42,72,1,1
8,40,2,9
30,40,15,15
4,4,1,1
17,18,2,3
3,20,1,6
6,20,4,6
15,17,2,2
4,7,2,2
20,29,2,2
12,20,5,5
10,13,1,1
32,39,3,5
39,41,3,6
3,4,1,2
5,7,5,5
3,11,1,3
8,14,2,5
3,57,3,3
7,9,1,2
44,54,3,7
9,11,4,4
14,14,8,8
8,15,2,5
15,42,4,4
15,23,4,5
17,27,2,4
19,27,4,4
5,6,5,5
10,10,3,3
17,20,3,4
8,8,3,3
1,10,1,1
5,19,2,2
29,36,15,21
35,35,2,2
7,10,2,3
8,10,3,3
8,9,2,2
77,82,6,6
20,21,3,3
5,5,3,3
4,4,4,4
4,23,4,5
4,19,2,2
4,19,2,3
28,42,5,5
35,35,5,6
14,41,3,4
22,23,3,4
16,16,2,2
3,20,1,2
2,58,2,58
6,11,3,3
11,34,7,9
3,3,2,2
7,12,2,2
3,9,3,3
31,33,1,2
28,30,3,3
2,2,1,1
21,51,2,2
21,26,3,4
17,19,2,3
21,45,4,6
22,31,6,12
19,26,1,2
13,21,2,3
9,14,1,3
22,22,5,5
13,15,6,6
