sentence_position,sentence_count,paragraph_position,paragraph_length
3,18,3,4
17,18,1,2
3,18,3,4
17,18,1,2
8,8,1,1
8,8,1,1
5,14,4,4
2,3,2,3
2,3,2,3
4,16,4,4
29,41,6,7
32,41,2,5
6,13,1,2
1,22,1,2
14,24,4,7
15,24,5,7
7,9,1,3
2,13,2,6
12,13,5,7
10,10,1,1
2,8,2,4
15,17,3,5
16,17,4,5
1,2,1,2
2,2,2,2
2,3,2,2
5,9,5,6
15,21,1,2
7,26,6,22
7,26,6,22
7,9,7,7
7,9,7,7
10,17,4,5
4,4,2,2
15,19,1,5
4,15,3,4
5,15,4,4
14,15,1,2
3,11,1,1
4,10,4,4
19,19,2,2
4,8,4,6
3,5,1,3
4,7,4,4
4,7,4,4
14,19,1,5
5,5,1,3
21,23,1,3
29,40,3,15
20,34,1,10
6,6,6,6
3,6,3,6
6,6,6,6
9,12,2,2
17,23,2,6
5,8,3,3
7,10,1,4
4,4,3,3
15,27,6,6
2,13,2,5
2,13,2,5
17,19,1,4
4,6,4,6
38,38,5,5
2,3,2,3
3,8,3,4
8,12,8,12
4,5,4,5
2,19,2,3
10,11,3,4
11,11,4,4
29,31,7,8
1,16,1,4
1,16,1,4
5,11,3,4
5,11,3,4
12,14,3,5
12,14,3,5
3,5,3,3
16,22,6,7
4,6,2,2
12,13,2,4
4,9,4,7
6,6,5,5
15,15,5,5
5,8,4,4
22,56,1,5
24,56,3,5
25,56,4,5
10,12,5,5
8,9,2,2
3,5,3,5
7,7,4,4
2,2,2,2
3,36,3,4
20,27,2,9
23,27,5,9
5,11,2,3
8,9,1,2
2,8,2,2
5,12,1,2
3,8,1,2
18,20,5,7
1,6,1,3
1,8,1,3
1,8,1,3
1,8,1,3
5,7,2,5
17,18,2,3
5,18,5,5
3,3,3,3
10,25,1,1
28,43,3,6
15,17,2,2
15,17,2,2
10,10,2,2
8,9,8,9
30,43,5,6
5,26,3,3
13,26,3,3
17,26,4,4
19,19,2,2
5,25,5,5
6,6,6,6
9,11,9,11
6,6,6,6
3,5,2,4
5,22,1,4
2,9,2,5
6,10,1,5
23,32,5,5
2,14,2,2
5,6,1,2
1,3,1,3
15,15,4,4
2,16,2,16
2,16,2,16
3,18,3,3
7,7,2,2
2,30,1,10
2,3,1,1
3,5,3,3
3,5,3,3
22,26,4,4
6,9,6,8
6,9,6,8
17,19,2,4
11,14,5,6
12,12,2,2
2,22,2,2
10,10,1,1
8,13,2,2
10,12,3,3
19,32,2,2
21,24,3,3
8,18,1,1
8,9,5,6
28,32,4,6
21,21,5,6
35,59,10,11
7,12,3,4
21,21,1,1
2,7,2,4
4,7,4,4
14,14,7,7
3,7,3,3
16,18,3,4
21,21,5,5
3,7,3,3
4,12,1,4
2,5,1,2
4,15,1,1
19,22,5,6
16,20,1,5
1,1,1,1
13,17,5,6
9,26,1,2
12,12,2,2
7,9,6,6
36,36,6,6
22,26,4,7
1,21,1,1
12,21,1,3
16,26,16,26
11,11,1,1
2,2,2,2
2,2,2,2
7,9,2,3
1,5,1,1
8,14,1,2
1,4,1,4
4,13,4,5
3,3,1,1
4,6,4,6
1,1,1,1
4,10,4,4
2,2,2,2
3,3,2,2
5,5,5,5
9,13,3,4
6,7,3,3
6,7,2,3
7,7,3,3
8,10,1,3
12,20,3,3
6,6,6,6
20,22,2,4
20,22,2,4
15,15,1,2
2,3,1,1
8,12,1,3
8,12,1,3
6,9,4,4
2,2,2,2
3,13,2,13
11,13,10,13
2,8,2,6
3,4,1,1
6,14,5,6
6,14,5,6
11,30,4,4
17,33,14,14
4,6,1,2
14,14,3,3
2,26,2,3
12,26,1,5
5,7,4,4
16,20,2,2
6,10,1,3
23,32,8,9
3,6,1,1
7,11,3,3
14,24,4,4
5,14,1,10
3,5,3,3
11,16,2,3
9,36,2,6
9,36,2,6
9,36,2,6
1,8,1,1
4,6,1,1
7,12,3,3
1,7,1,2
2,14,2,2
4,22,3,3
8,36,4,4
10,11,10,11
6,9,1,4
6,9,1,4
3,16,2,5
19,33,3,3
6,7,1,1
2,4,1,1
11,11,2,2
5,11,5,5
