sentence_position,sentence_count,paragraph_position,paragraph_length
15,25,2,2
7,8,2,3
10,15,4,4
27,27,1,1
6,9,5,5
10,10,1,1
27,31,17,17
6,40,1,9
10,12,4,5
10,12,3,5
12,15,5,5
13,24,1,1
4,5,4,4
3,21,2,2
4,6,1,3
4,21,1,1
4,6,1,1
27,30,5,6
4,6,4,4
8,8,4,4
8,8,1,1
2,15,2,2
10,27,9,13
12,25,8,9
2,32,2,3
12,22,3,6
17,22,2,4
10,12,10,12
78,88,5,5
5,6,5,6
5,7,5,7
5,6,2,3
7,54,5,14
7,14,7,14
12,14,12,14
6,26,4,5
21,26,9,10
5,10,3,3
10,10,5,5
7,10,4,7
15,15,2,2
33,36,8,9
7,18,6,6
42,49,3,3
16,16,1,3
3,9,1,5
5,13,3,3
4,4,1,1
12,12,3,3
19,19,4,4
3,5,3,4
11,38,9,12
20,30,1,2
3,10,2,3
8,10,1,3
10,10,3,3
13,19,1,1
5,15,3,4
9,15,9,10
11,11,1,1
8,13,3,3
5,5,2,2
3,5,3,5
6,34,2,2
3,9,2,2
5,9,2,6
5,8,2,3
35,72,2,2
37,72,2,2
8,21,5,5
2,8,2,3
4,4,2,2
1,6,1,2
28,30,6,7
3,7,2,2
8,8,2,2
6,9,2,4
8,16,3,5
28,31,7,10
8,11,1,4
2,3,2,3
15,20,1,1
2,12,1,2
6,13,3,4
14,17,6,6
8,8,2,2
5,19,4,8
19,25,2,4
27,30,17,20
2,17,1,3
16,58,1,4
1,6,1,1
20,39,8,15
11,11,2,2
2,7,1,2
27,27,1,1
2,5,2,2
10,10,2,2
1,1,1,1
34,46,10,13
13,39,2,6
3,30,1,1
8,22,3,3
5,6,1,2
2,9,1,1
1,19,1,2
1,11,1,4
7,7,3,3
10,16,1,4
15,16,1,1
7,18,2,6
11,11,1,1
3,13,3,4
4,13,4,4
6,10,2,6
32,56,6,15
33,56,7,15
5,15,3,3
16,36,6,8
8,12,4,4
7,10,2,3
2,8,1,2
2,9,2,4
11,45,9,9
17,17,1,1
11,11,3,3
38,125,5,5
15,15,7,7
7,13,1,4
9,13,2,2
1,20,1,1
3,15,2,5
5,7,5,7
3,14,3,4
2,3,1,2
14,17,8,8
2,35,2,3
17,21,3,3
1,5,1,1
7,37,4,5
15,22,3,3
28,28,1,1
14,26,2,4
25,26,6,7
11,15,2,6
1,17,1,2
37,55,4,6
7,40,6,8
11,17,2,8
14,53,4,6
20,21,2,3
60,84,15,20
3,4,1,2
6,10,5,5
9,10,1,2
6,6,3,3
5,25,4,5
23,32,5,5
6,10,1,2
17,17,3,3
17,22,13,14
15,20,1,2
5,7,3,3
13,19,6,8
6,19,2,4
5,7,5,7
18,22,4,5
33,34,2,3
20,20,2,2
10,14,1,1
11,11,4,4
3,13,3,4
3,37,1,1
8,9,1,2
12,12,1,1
5,6,2,3
14,15,4,5
1,18,1,2
21,24,3,3
11,15,3,4
3,4,3,4
4,4,4,4
3,13,1,5
6,20,2,6
12,20,2,4
8,13,6,6
23,57,6,6
38,57,5,8
52,57,1,3
1,24,1,1
22,24,2,3
7,14,4,6
4,4,4,4
3,10,3,3
11,28,1,1
18,18,3,3
8,31,4,7
14,19,4,5
21,29,1,3
22,24,7,7
6,17,2,3
4,10,1,1
7,10,1,1
23,25,2,3
41,48,3,3
47,48,6,7
7,13,2,3
1,14,1,7
2,13,2,2
2,2,2,2
11,11,2,2
9,13,3,5
6,7,4,4
10,18,2,4
24,29,3,3
6,6,2,2
5,26,2,6
16,26,2,9
4,8,4,4
18,36,9,10
16,47,6,6
18,18,3,3
