sentence_position,sentence_count,paragraph_position,paragraph_length
29,39,2,8
3,5,3,5
4,32,4,4
11,17,6,11
2,17,1,1
50,56,5,7
15,21,3,8
17,17,2,2
16,17,5,6
10,16,4,6
10,16,4,6
10,16,4,6
10,16,4,6
3,11,2,2
20,22,12,12
19,23,1,1
3,3,3,3
2,16,1,4
3,5,2,3
1,14,1,1
3,10,2,2
20,20,2,2
4,4,2,2
7,7,2,3
5,23,2,3
13,19,1,5
2,3,2,3
24,36,7,7
24,36,7,7
1,10,1,1
29,40,10,14
4,23,3,10
16,20,3,7
6,10,4,4
2,3,2,2
1,103,1,1
10,19,6,6
5,5,5,5
4,43,3,5
27,33,2,8
8,9,3,4
9,13,2,3
11,13,1,1
10,19,4,5
22,25,12,14
14,21,3,5
4,4,4,4
22,40,2,3
39,40,2,3
4,4,1,1
31,34,6,10
2,3,2,3
10,19,2,3
15,15,2,2
7,10,3,4
18,21,1,1
5,15,1,2
11,14,3,4
4,7,1,2
3,4,3,4
8,12,3,3
17,30,1,3
17,30,1,3
7,16,4,4
4,9,4,5
3,21,2,2
3,64,2,3
8,64,1,2
16,64,5,6
2,4,2,4
17,26,17,26
17,20,5,7
17,20,5,7
6,6,2,2
9,23,3,6
4,11,1,4
28,42,10,14
28,36,6,6
4,12,3,4
4,5,1,1
7,7,7,7
9,31,2,4
3,11,2,2
28,65,2,5
5,8,1,4
5,8,1,4
2,3,2,3
2,3,2,3
4,7,4,4
5,8,1,4
11,26,8,8
20,26,4,7
22,26,6,7
16,17,8,9
5,5,5,5
9,15,3,3
1,3,1,1
22,34,3,3
14,22,3,5
6,36,2,4
1,5,1,1
