sentence_position,sentence_count,paragraph_position,paragraph_length
2,4,2,2
3,7,3,3
4,13,4,4
4,4,1,1
3,19,2,3
4,47,2,4
21,21,4,5
2,4,2,3
9,17,3,6
7,15,3,3
13,43,2,2
17,17,2,3
1,6,1,2
1,11,1,2
2,11,2,2
5,18,1,7
8,18,4,7
4,6,2,2
13,19,5,6
14,14,8,8
31,35,3,4
11,11,5,5
1,17,1,2
3,3,3,3
21,27,6,6
3,6,1,5
9,38,4,8
30,38,7,7
6,22,1,2
12,29,2,2
8,10,2,2
2,8,2,3
38,41,2,5
20,28,4,4
8,27,5,9
6,33,2,3
4,24,3,5
2,7,2,4
1,2,1,2
2,27,2,7
5,8,4,4
8,8,1,1
13,16,9,9
38,84,2,6
16,19,5,8
8,21,4,4
2,2,1,1
20,20,1,1
3,10,3,4
15,25,3,7
16,17,1,1
12,26,4,6
8,29,1,6
30,32,11,11
5,15,1,2
4,12,4,6
2,4,2,4
34,36,11,13
31,59,2,2
4,8,2,2
3,7,2,2
2,16,1,4
10,20,1,1
17,20,5,9
4,24,2,2
13,41,10,14
8,9,3,3
8,12,1,2
3,23,3,3
40,54,2,3
4,5,4,4
6,16,4,6
13,16,1,3
5,28,1,3
3,14,3,4
9,33,1,3
39,41,6,7
11,14,3,3
2,19,2,6
6,31,2,2
16,20,3,5
1,54,1,3
3,4,1,2
19,20,4,4
6,32,3,3
23,25,3,4
14,14,3,4
16,19,5,8
19,28,5,7
3,7,3,3
17,18,2,2
5,21,1,5
20,21,1,2
10,10,2,2
10,42,1,2
2,7,2,7
4,5,4,4
13,26,5,6
16,41,3,4
1,17,1,3
34,42,1,2
40,42,1,3
2,5,2,3
15,15,1,1
10,22,1,5
16,22,1,5
23,23,1,1
13,24,5,8
7,8,1,2
1,1,1,1
8,8,5,5
13,15,1,3
14,15,2,3
11,31,5,8
4,5,4,5
8,8,1,1
22,23,3,4
23,23,5,5
4,10,4,4
4,11,4,4
15,36,9,9
36,51,2,2
37,41,2,2
4,4,2,2
20,26,2,4
6,19,1,2
8,8,4,4
3,3,1,1
15,23,1,1
