sentence_position,sentence_count,paragraph_position,paragraph_length
2,2,1,1
7,32,1,6
2,11,2,2
5,9,1,2
13,13,4,5
13,13,4,5
13,13,4,5
11,24,3,8
7,14,7,7
31,43,2,5
6,9,6,6
12,18,1,2
4,15,4,7
2,3,2,3
8,18,4,4
5,8,5,6
13,18,8,8
3,6,1,3
4,4,1,1
2,22,1,10
13,19,6,6
4,6,4,4
4,9,3,4
5,11,5,5
5,16,1,12
12,15,1,4
4,18,4,7
2,6,1,3
10,11,3,3
6,9,2,2
17,22,8,11
5,9,3,4
3,3,1,1
3,3,1,1
5,5,5,5
5,5,5,5
1,8,1,8
15,56,3,37
2,11,2,2
7,22,1,3
3,7,3,4
7,7,4,4
3,7,3,7
1,2,1,2
10,17,8,10
3,17,3,3
12,34,5,6
1,4,1,2
23,26,4,8
7,13,1,2
3,6,1,1
4,8,4,5
17,28,6,9
25,28,1,4
2,8,2,2
2,9,1,1
4,5,3,4
3,8,3,8
6,17,2,4
3,4,3,4
6,10,1,4
1,14,1,2
8,9,8,9
12,19,1,4
7,15,4,6
10,15,1,5
27,30,7,11
13,26,1,2
2,7,2,3
24,26,2,4
14,19,2,3
2,10,2,3
11,12,1,1
21,21,7,7
5,18,1,2
1,2,1,2
9,13,3,4
5,6,2,3
7,59,3,10
7,48,3,6
1,8,1,5
13,29,6,7
6,16,3,8
8,11,2,2
2,4,1,1
1,8,1,8
17,36,10,10
3,57,3,5
6,8,3,4
13,21,2,3
10,64,1,2
34,37,1,3
9,9,5,5
56,80,4,6
9,13,3,3
9,13,3,3
10,48,2,3
36,39,2,2
4,7,4,7
6,7,6,7
2,3,1,2
18,21,2,2
11,11,4,4
5,9,2,2
1,36,1,1
17,39,3,4
7,25,2,2
4,9,4,6
8,8,3,3
8,12,1,3
8,12,1,3
1,14,1,1
2,8,2,8
31,65,5,5
15,16,3,3
4,4,1,1
2,2,2,2
23,47,4,6
11,17,1,5
8,9,2,3
8,14,1,2
21,21,2,2
8,23,5,6
18,23,3,5
6,12,1,7
6,12,3,3
3,3,1,1
8,13,4,9
2,10,2,2
2,8,2,4
7,8,1,2
3,9,1,4
