sentence_position,sentence_count,paragraph_position,paragraph_length
4,12,4,4
8,8,2,2
25,27,1,1
6,22,1,3
9,15,2,3
5,20,2,4
1,2,1,2
4,13,1,1
3,8,3,5
5,27,4,13
1,3,1,3
1,2,1,1
8,12,8,12
1,7,1,7
23,47,3,3
5,9,5,5
2,4,2,2
9,9,3,3
11,16,3,3
16,16,2,2
3,7,1,1
4,7,4,4
3,10,3,3
6,11,1,3
10,11,1,1
7,10,3,3
9,10,2,3
7,97,3,5
27,34,10,16
4,11,2,2
8,35,4,7
10,14,5,6
23,46,4,4
4,35,4,4
6,7,3,3
11,25,8,9
24,25,5,6
25,25,6,6
1,8,1,3
1,23,1,3
4,7,3,6
17,29,7,8
8,19,5,5
1,16,1,5
6,8,2,4
6,8,2,2
2,8,2,3
12,16,1,4
2,15,2,5
5,22,1,1
9,19,1,2
6,14,3,3
2,2,2,2
10,12,1,1
4,11,4,4
32,46,11,12
2,17,2,2
5,19,5,9
21,38,7,7
10,19,5,5
8,13,2,7
2,20,2,2
1,11,1,2
24,81,5,42
10,12,1,3
20,28,1,6
1,46,1,1
25,46,1,13
8,28,1,8
8,8,4,5
6,11,1,5
25,33,4,6
7,9,1,1
5,22,1,1
16,22,2,3
19,22,2,4
45,56,1,4
4,4,1,1
40,45,1,3
4,6,2,2
6,6,3,4
3,5,3,3
4,5,1,2
17,17,2,2
3,3,2,2
12,23,1,3
4,24,2,2
5,6,1,2
5,22,1,3
3,19,1,2
5,8,3,6
18,27,1,3
4,9,4,4
13,18,1,3
16,27,5,11
26,27,4,5
7,11,3,7
3,6,3,4
52,53,4,7
53,53,7,7
7,21,6,6
10,16,6,9
30,30,1,1
4,8,2,2
25,25,1,1
41,91,11,12
13,16,1,4
8,20,3,3
6,29,2,3
27,29,4,4
9,14,9,14
3,11,1,4
17,23,6,12
12,41,1,5
16,18,1,3
18,28,1,4
2,26,2,3
6,26,2,3
7,13,2,5
12,15,1,2
8,8,2,2
3,17,1,2
10,20,6,17
19,41,2,8
1,9,1,1
6,9,5,5
2,2,1,1
14,14,10,10
7,12,2,3
3,7,1,4
1,8,1,3
9,20,2,2
4,16,2,3
2,15,2,2
3,12,3,3
11,16,1,2
12,12,1,1
8,31,1,1
6,6,1,1
4,18,2,4
17,18,2,2
6,29,2,2
3,3,3,3
3,3,3,3
18,26,5,8
22,28,1,4
27,28,1,3
1,5,1,3
11,16,5,6
6,9,5,6
8,9,1,2
28,35,6,7
26,39,3,3
30,39,2,6
6,58,5,6
17,21,7,8
3,13,3,4
5,28,3,4
2,3,2,3
4,18,4,15
30,32,3,5
18,32,2,5
16,16,6,6
32,57,24,27
4,14,2,3
14,14,4,4
8,12,2,5
14,19,1,3
13,13,7,7
24,59,7,18
34,59,17,18
2,5,2,2
4,8,1,3
2,26,2,3
11,17,2,5
2,19,2,8
23,31,4,9
27,31,8,9
25,34,1,5
16,16,4,4
3,9,1,3
12,23,3,4
17,23,4,5
6,8,1,3
93,110,7,7
18,19,2,3
2,9,2,4
3,8,3,3
2,5,1,2
10,18,2,5
6,23,1,3
17,31,3,4
3,23,3,3
1,6,1,1
12,18,5,5
2,8,2,4
27,41,5,7
26,45,3,6
15,21,4,6
21,21,4,4
12,15,2,2
19,26,1,2
22,26,2,2
1,10,1,1
4,10,3,3
3,17,3,9
3,3,1,1
37,37,1,2
2,3,1,2
4,6,4,5
4,9,4,4
18,18,1,1
7,22,4,4
