sentence_position,sentence_count,paragraph_position,paragraph_length
13,20,3,4
6,6,2,2
14,14,3,3
14,43,1,1
4,8,1,4
11,21,1,2
5,10,1,3
7,7,3,3
4,45,4,4
22,40,2,2
8,8,1,1
14,16,4,5
22,28,7,7
98,125,1,4
4,12,1,5
5,10,1,2
10,11,4,4
15,19,11,11
20,29,4,8
7,8,1,2
13,15,2,4
5,7,5,7
10,24,2,3
6,14,6,7
17,17,3,4
11,19,3,4
3,12,1,3
3,3,3,3
15,63,3,6
18,48,4,7
16,34,3,4
6,26,1,4
6,11,1,2
5,14,3,3
10,15,3,3
12,31,1,8
4,17,4,4
4,5,2,2
31,45,7,9
6,9,1,1
23,51,2,2
17,41,5,5
6,11,1,3
7,13,7,13
