sentence_position,sentence_count,paragraph_position,paragraph_length
1,4,1,1
29,39,2,8
3,5,3,5
1,6,1,5
6,16,6,6
4,32,4,4
11,17,6,11
12,17,1,1
6,11,1,5
4,60,3,3
14,22,1,1
14,22,1,1
4,34,3,4
6,12,6,10
5,6,2,3
8,9,1,2
1,9,1,1
29,73,3,6
1,10,1,6
9,15,2,3
11,15,1,3
2,17,1,1
50,56,5,7
15,21,3,8
3,4,2,3
7,10,1,3
17,17,2,2
16,17,5,6
18,18,2,3
3,6,3,4
3,11,3,4
3,11,3,4
8,12,3,5
2,4,2,4
11,16,1,2
11,16,1,2
18,23,1,1
2,2,2,2
2,5,2,2
10,16,4,6
10,16,4,6
10,16,4,6
10,16,4,6
3,7,1,5
4,8,1,5
19,61,5,19
43,61,2,2
50,61,7,9
8,9,8,8
3,11,2,2
20,22,12,12
15,18,3,3
2,19,1,3
5,17,4,5
8,17,2,3
12,17,3,5
9,23,4,4
19,23,1,1
3,3,3,3
6,24,6,6
7,24,1,2
15,26,2,2
5,6,2,3
2,16,1,4
3,5,2,3
9,15,5,6
9,15,5,6
9,15,5,6
9,15,5,6
13,19,11,14
2,6,1,3
12,18,1,2
4,20,4,4
5,7,1,1
16,16,4,4
6,12,2,2
7,7,1,1
10,23,2,7
1,14,1,1
3,10,2,2
5,5,4,4
20,20,2,2
7,8,1,2
11,13,1,3
7,8,1,2
11,13,1,3
4,5,4,5
35,38,2,5
2,11,2,3
9,9,5,5
23,49,1,1
44,49,6,7
5,9,2,4
4,4,2,2
2,3,2,3
7,7,2,3
5,23,2,3
6,6,1,1
13,16,4,7
4,5,4,5
13,18,1,5
3,17,2,2
13,19,1,5
9,9,4,4
1,13,1,3
7,17,1,1
4,6,1,1
7,14,1,3
7,14,1,3
2,3,2,3
24,36,7,7
24,36,7,7
1,10,1,1
6,17,5,12
29,40,10,14
5,9,5,5
5,9,5,5
5,9,5,5
5,9,5,5
5,5,1,1
3,4,2,3
4,23,3,10
5,9,3,3
8,9,3,4
7,15,2,7
11,13,4,4
10,10,6,6
11,15,2,5
11,12,2,3
1,1,1,1
2,12,2,2
3,5,3,5
1,5,1,2
1,3,1,3
3,5,3,5
1,5,1,2
1,3,1,3
4,13,1,1
13,13,1,1
5,5,3,3
51,56,2,8
3,29,1,11
2,22,2,3
1,9,1,3
