sentence_position,sentence_count,paragraph_position,paragraph_length
12,12,1,1
15,21,2,3
11,20,1,4
2,15,2,6
7,8,1,2
2,4,2,2
9,22,1,8
1,13,1,4
3,7,3,3
6,7,1,1
14,24,1,2
12,16,2,6
8,11,1,4
24,27,4,8
4,13,4,4
16,19,1,1
10,15,3,3
15,15,2,2
15,18,2,2
8,16,1,3
21,38,3,4
29,38,2,4
5,9,1,3
4,4,1,1
3,19,2,3
4,47,2,4
4,8,1,1
21,21,4,5
2,4,2,3
2,15,2,2
9,17,3,6
6,22,6,6
10,13,4,7
4,7,1,4
7,15,3,3
25,52,3,4
13,54,11,14
25,54,9,12
41,54,13,23
4,6,4,6
13,43,2,2
27,61,2,3
17,17,2,3
3,11,1,1
1,8,1,5
1,6,1,2
10,17,1,2
9,12,4,5
6,17,6,6
1,11,1,2
2,11,2,2
3,11,1,2
5,18,1,7
8,18,4,7
4,6,2,2
7,14,2,5
4,11,1,6
17,26,3,3
13,19,5,6
4,14,3,4
14,14,8,8
2,10,1,3
33,33,21,21
1,15,1,2
14,28,12,12
13,38,11,12
11,47,6,8
38,47,20,22
10,19,1,6
31,35,3,4
1,10,1,5
11,11,5,5
6,30,1,2
2,16,1,4
7,13,4,4
1,17,1,2
3,3,3,3
2,17,2,2
21,27,6,6
8,11,1,1
3,6,1,5
4,6,2,5
3,7,2,2
3,38,3,5
9,38,4,8
20,38,7,10
30,38,7,7
6,22,1,2
8,10,1,3
3,11,2,2
38,39,3,3
39,39,1,1
3,7,1,2
8,30,4,7
8,40,1,1
16,40,1,3
4,4,4,4
4,6,1,3
2,6,1,3
14,38,7,20
3,6,1,4
2,17,2,3
4,17,1,2
10,17,5,5
1,4,1,1
12,29,2,2
8,19,5,8
33,41,2,4
12,12,1,1
4,17,4,4
6,20,2,3
7,20,3,3
32,40,6,7
32,44,10,10
3,7,3,4
8,12,1,3
5,6,1,1
7,31,1,2
9,35,2,2
11,35,2,3
4,27,4,8
1,13,1,3
4,20,4,4
1,6,1,2
1,7,1,3
6,19,1,3
1,18,1,4
8,10,2,2
1,2,1,1
1,8,1,3
23,27,1,5
5,10,1,6
8,11,5,7
14,15,2,3
8,13,1,2
4,29,2,2
8,29,3,4
14,29,1,7
6,20,6,8
14,17,2,5
8,58,1,1
14,26,3,8
10,11,1,2
6,39,4,10
32,39,16,16
2,8,2,3
4,21,4,4
1,1,1,1
4,46,2,2
38,41,2,5
8,24,2,6
20,28,4,4
3,4,3,3
2,16,2,2
5,8,5,6
3,4,1,1
14,18,12,17
8,27,5,9
10,27,7,9
6,14,2,5
6,33,2,3
3,4,1,1
3,4,1,2
3,9,2,2
14,22,1,1
38,56,12,15
3,6,3,4
2,36,2,2
14,38,9,11
19,38,3,6
35,38,5,5
2,16,2,2
11,16,1,6
14,26,4,7
18,26,1,4
20,26,3,4
4,24,3,5
12,18,10,10
1,8,1,8
9,17,7,7
3,3,1,1
17,22,3,3
8,19,3,4
15,45,2,4
3,10,2,5
13,15,2,4
1,14,1,2
5,6,3,4
51,125,5,5
125,125,1,2
4,11,1,4
9,10,2,3
2,7,2,4
3,4,3,3
7,15,1,3
4,14,4,4
12,14,7,9
14,14,9,9
18,20,5,7
3,6,3,3
3,9,2,2
2,3,1,2
3,3,3,3
3,15,3,3
12,15,6,9
14,15,8,9
11,16,5,6
1,2,1,2
9,17,5,5
10,17,1,4
34,38,9,9
2,18,1,2
14,18,3,3
5,6,2,3
12,22,2,2
3,8,3,4
12,26,4,4
13,26,1,4
6,12,3,5
3,8,1,6
2,5,2,2
2,2,1,1
4,19,1,2
32,42,6,10
2,27,2,7
20,27,3,3
4,15,1,5
9,16,2,2
2,14,1,9
2,8,2,2
6,9,4,4
7,9,1,2
8,55,4,5
48,55,3,3
49,55,1,1
18,20,1,2
7,7,1,1
2,10,1,4
1,1,1,1
1,6,1,2
4,24,4,5
18,24,3,5
23,24,3,4
13,19,8,9
9,15,4,5
4,4,2,2
5,8,4,4
1,3,1,3
8,8,1,1
13,16,9,9
28,84,1,2
38,84,2,6
16,19,5,8
6,7,1,2
8,21,4,4
33,72,2,6
12,26,12,26
10,17,10,17
4,5,1,2
4,32,1,4
10,10,3,3
3,6,3,6
6,9,6,9
11,12,4,4
2,2,1,1
2,4,2,2
9,20,1,1
1,3,1,1
2,16,2,2
10,11,1,4
20,20,1,1
13,15,1,2
3,10,3,4
15,25,3,7
1,22,1,4
16,17,1,1
4,4,1,1
16,16,3,3
1,34,1,1
8,8,3,3
12,26,4,6
8,14,3,4
11,14,2,4
8,19,4,11
9,10,2,2
8,29,1,6
5,10,5,10
13,14,13,14
6,28,4,4
13,14,3,4
2,11,2,2
2,9,2,2
8,8,1,1
3,8,3,3
21,32,16,23
30,32,11,11
10,10,4,4
4,9,1,6
6,16,2,6
1,5,1,1
5,15,1,2
9,14,2,5
4,12,4,6
3,6,3,3
2,4,2,4
1,22,1,1
5,9,1,1
1,23,1,4
34,36,11,13
12,13,1,2
33,57,1,1
23,23,4,4
1,2,1,2
22,26,3,6
4,29,2,3
5,29,3,3
6,29,1,3
9,28,1,3
7,41,2,6
16,41,5,5
4,8,4,4
5,9,3,3
7,7,2,2
31,59,2,2
42,59,11,18
3,11,1,1
4,8,2,2
3,7,2,2
2,16,1,4
5,15,3,3
15,15,3,3
10,20,1,1
17,20,5,9
27,39,3,5
2,8,1,1
4,24,2,2
12,24,5,5
11,41,8,14
12,41,9,14
13,41,10,14
14,41,11,14
5,12,1,4
8,9,3,3
14,14,7,7
11,14,7,9
4,10,1,4
8,12,1,2
3,23,3,3
11,48,5,6
28,48,2,3
7,19,6,7
8,11,1,2
14,14,4,4
21,22,1,2
3,5,3,5
2,8,2,8
1,8,1,2
4,15,2,4
4,7,2,4
1,14,1,2
14,14,7,7
6,12,6,7
4,10,4,5
8,11,2,2
15,15,4,4
4,6,4,4
1,9,1,2
40,54,2,3
12,12,3,3
24,32,9,16
19,19,1,1
6,10,1,1
7,27,2,3
4,5,4,4
1,16,1,2
6,16,4,6
5,17,4,5
46,47,3,3
7,15,7,9
1,16,1,1
13,16,1,3
24,28,1,5
5,11,1,7
36,36,6,6
22,32,3,4
23,42,3,3
5,28,1,3
24,28,8,9
3,14,3,4
6,8,3,5
9,33,1,3
4,41,4,6
7,41,1,6
39,41,6,7
11,12,1,2
11,14,3,3
16,23,5,5
1,10,1,5
3,18,3,3
9,27,5,5
9,31,1,3
2,19,2,6
21,22,1,3
17,25,2,4
10,24,2,5
14,24,1,1
52,60,9,9
2,16,2,3
5,15,1,2
6,31,2,2
26,32,9,12
30,32,1,4
16,20,3,5
7,15,3,3
1,54,1,3
12,12,1,1
7,30,4,4
29,51,9,9
46,51,9,11
7,41,2,3
1,2,1,2
2,2,1,1
3,4,1,2
2,4,1,2
9,9,3,3
19,20,4,4
6,32,3,3
24,32,2,3
23,25,3,4
14,14,3,4
9,10,4,5
4,26,1,5
13,14,5,6
7,12,3,8
11,18,1,5
9,9,2,2
5,7,3,3
16,19,5,8
48,48,2,2
27,35,5,7
3,4,3,3
3,5,3,3
11,21,2,5
53,68,2,2
10,13,1,4
13,13,4,4
12,21,2,8
13,21,3,8
16,34,3,4
25,34,1,3
27,34,3,3
3,11,1,1
3,28,1,4
19,28,5,7
6,11,2,3
3,7,3,3
17,18,2,2
18,32,2,3
27,32,2,2
4,21,4,4
5,21,1,5
20,21,1,2
1,6,1,4
2,29,2,2
35,36,5,5
9,18,1,2
7,20,2,2
9,14,1,4
8,35,4,7
10,11,2,2
4,15,3,4
7,14,1,3
10,14,1,1
4,6,2,4
20,21,1,2
4,4,3,3
10,10,2,2
5,16,5,11
14,16,3,3
9,9,1,4
9,42,5,5
10,42,1,2
26,42,4,4
42,42,2,2
1,20,1,1
2,7,2,7
5,12,4,6
14,27,1,2
3,5,3,3
4,5,4,4
5,5,2,2
14,23,3,4
13,14,2,2
2,9,2,3
1,19,1,2
13,14,4,4
13,26,5,6
16,41,3,4
18,41,1,7
12,16,4,6
16,16,2,2
3,15,1,2
11,31,7,7
4,9,4,4
6,24,1,4
10,24,1,1
11,24,1,7
1,17,1,3
34,42,1,2
40,42,1,3
29,35,1,3
10,11,4,4
2,5,2,3
9,9,1,1
1,5,1,3
3,7,3,6
1,8,1,2
16,22,7,7
5,6,3,4
15,15,1,1
1,10,1,3
10,22,1,5
16,22,1,5
23,23,1,1
1,15,1,4
1,9,1,3
7,16,3,5
13,24,5,8
1,5,1,1
7,8,1,2
53,58,53,58
5,25,4,6
77,110,5,6
5,11,1,1
3,7,1,1
2,3,2,2
1,10,1,6
1,15,1,3
5,15,2,5
1,1,1,1
8,8,5,5
10,10,2,2
4,9,4,4
6,9,2,5
8,9,4,5
14,18,2,2
4,18,1,1
5,18,1,4
18,18,1,1
9,10,1,2
3,6,1,4
12,22,3,7
5,8,5,5
13,15,1,3
14,15,2,3
11,31,5,8
4,5,4,5
8,8,1,1
22,23,3,4
23,23,5,5
18,31,5,7
3,26,3,3
19,26,1,4
6,18,3,3
2,17,2,2
5,6,1,1
9,10,3,4
8,33,2,14
34,75,2,5
54,75,4,4
75,75,5,6
7,11,1,3
4,10,4,4
4,11,4,4
9,11,5,7
15,36,9,9
37,42,11,12
39,42,1,3
1,7,1,6
1,5,1,5
13,13,2,2
36,51,2,2
6,53,1,6
1,32,1,3
37,41,2,2
4,4,2,2
8,18,3,4
7,9,1,3
7,26,5,6
20,26,2,4
6,19,1,2
23,44,3,3
41,44,5,5
9,26,3,5
17,19,4,4
2,31,2,2
24,26,2,3
8,8,4,4
1,19,1,6
4,12,2,3
7,7,2,2
3,3,1,1
24,28,2,5
4,5,4,5
30,37,1,5
3,13,3,4
5,17,4,4
9,17,4,9
15,23,1,1
5,12,2,4
9,11,3,5
5,9,1,6
15,16,1,2
20,22,4,6
12,15,6,7
8,16,1,4
8,12,1,5
1,20,1,2
1,22,1,8
