sentence_position,sentence_count,paragraph_position,paragraph_length
2,4,2,3
2,4,2,3
2,40,1,1
7,8,1,2
8,8,2,2
19,36,2,4
8,14,3,3
8,14,3,3
5,5,3,3
3,18,2,5
45,61,2,9
8,13,2,7
4,6,3,3
19,23,3,7
7,18,2,2
22,30,3,5
7,8,1,2
11,12,2,2
5,9,5,5
10,27,10,10
10,11,1,2
6,15,6,6
12,12,1,1
4,4,3,3
4,16,4,4
2,9,2,3
3,9,3,3
10,15,1,2
4,5,4,5
5,6,5,6
4,17,4,7
5,9,2,4
1,3,1,3
14,21,5,7
7,9,2,2
3,15,1,3
16,36,3,3
15,22,4,5
15,22,4,5
2,7,1,1
9,9,2,3
34,51,1,4
38,51,1,5
41,51,4,5
16,16,9,9
8,8,6,6
13,15,2,4
17,19,3,6
