sentence_position,sentence_count,paragraph_position,paragraph_length
10,16,3,3
7,15,2,2
3,10,3,4
1,9,1,2
19,21,2,4
3,14,3,5
13,14,3,4
6,19,4,4
23,38,10,10
7,34,1,3
7,34,1,3
6,12,1,3
12,12,1,1
9,11,6,7
13,13,2,2
4,6,1,1
3,4,3,4
1,8,1,3
7,8,1,1
14,18,1,2
8,22,2,4
7,10,2,2
9,18,1,1
2,37,2,3
7,8,5,6
5,21,4,4
40,53,1,1
1,10,1,2
41,91,11,12
8,21,5,5
4,28,2,6
11,28,3,7
20,28,5,8
25,28,2,3
7,7,2,2
7,8,3,3
17,43,3,3
1,21,1,1
11,23,7,7
5,10,5,5
14,18,2,5
24,27,5,5
5,5,1,1
10,26,1,12
16,30,3,4
9,12,1,2
4,6,4,4
4,5,4,4
9,17,1,2
6,42,1,6
8,18,2,3
4,9,1,6
55,68,2,4
4,21,2,8
3,10,1,2
10,59,10,10
5,34,5,6
5,7,2,5
4,7,1,1
13,23,4,5
10,13,1,2
13,17,4,4
11,18,4,4
11,11,4,4
4,4,3,3
19,43,10,10
23,51,2,2
1,5,1,1
14,33,5,5
11,26,5,7
1,1,1,1
1,10,1,3
12,12,5,5
