sentence_position,sentence_count,paragraph_position,paragraph_count
3,7,1,3
4,7,1,3
4,18,1,5
4,18,1,5
8,12,2,3
7,7,3,3
1,4,1,2
5,5,4,8
5,5,7,8
5,8,1,3
5,8,1,3
6,39,1,6
14,39,3,6
26,39,4,6
27,39,4,6
2,10,2,7
7,13,1,1
11,11,6,7
2,5,1,3
5,9,5,6
8,16,3,4
2,3,1,1
10,10,2,2
35,41,11,12
4,32,1,6
12,23,6,10
7,9,3,4
4,8,2,3
7,8,3,3
11,11,3,3
6,8,2,2
3,10,2,6
15,28,6,12
27,28,12,12
10,36,1,8
10,22,4,11
10,22,4,11
8,24,2,4
9,24,2,4
6,7,4,4
2,3,1,1
3,9,2,5
12,13,3,3
8,12,2,3
7,19,2,4
19,73,6,21
53,73,15,21
7,7,10,13
3,5,1,1
4,5,1,1
21,21,4,4
11,28,5,12
23,28,9,12
25,43,8,12
28,43,9,12
6,10,2,3
6,8,3,4
1,36,1,14
36,36,13,14
1,9,1,3
2,9,1,3
7,9,3,3
9,9,3,3
8,17,3,5
10,10,7,7
10,18,4,8
14,18,6,8
5,14,2,5
5,14,2,5
9,9,2,2
5,5,2,2
3,10,2,3
3,10,2,3
6,11,3,5
6,6,2,2
2,11,1,3
4,11,1,3
4,5,4,5
3,3,2,2
4,7,1,2
5,17,1,6
3,3,2,2
3,4,1,2
3,4,1,2
3,4,1,2
4,16,1,2
4,16,1,2
16,17,3,3
16,17,3,3
3,11,1,3
4,5,2,2
1,2,1,1
4,16,1,2
3,5,2,2
3,5,1,1
2,8,1,6
12,15,3,4
20,20,7,7
1,61,1,14
37,61,7,14
51,61,10,14
3,11,2,4
4,11,2,4
10,16,3,4
10,16,3,4
7,11,4,5
4,11,2,2
12,14,4,4
14,18,6,7
17,18,7,7
1,8,1,2
3,23,2,10
14,23,4,5
1,1,1,1
8,19,4,6
2,10,1,3
5,15,2,5
15,16,5,6
18,20,5,6
36,43,11,13
39,43,12,13
6,7,3,3
9,11,4,5
3,5,2,2
4,4,1,1
7,19,2,4
3,9,2,4
9,9,2,2
4,4,8,8
12,12,3,3
12,12,3,3
4,6,1,1
6,7,3,3
3,29,1,7
24,29,5,7
6,7,3,3
2,9,1,2
8,9,1,2
3,10,1,2
32,41,5,7
10,10,2,3
6,7,3,3
27,39,4,6
29,39,4,6
10,10,5,5
2,2,4,8
2,2,4,8
16,18,4,4
6,6,2,2
2,6,2,4
7,27,4,8
36,38,7,7
15,37,5,9
15,37,5,9
1,49,1,20
2,3,1,2
1,1,1,1
1,8,1,3
6,7,4,4
2,27,1,5
5,27,2,5
3,8,3,5
2,7,1,2
10,15,3,4
12,13,1,1
13,23,6,9
15,16,8,10
5,6,1,1
10,15,3,4
2,6,2,4
5,6,4,4
8,19,2,4
13,19,3,4
3,13,1,9
4,16,2,6
3,11,2,4
11,16,3,4
8,8,3,3
8,20,2,4
12,14,3,4
10,11,4,4
11,11,5,5
11,11,5,5
5,5,2,2
8,22,1,3
4,17,2,3
37,40,6,7
7,8,2,2
5,5,3,3
9,9,3,3
6,23,2,5
16,23,4,5
2,10,2,5
8,8,3,3
3,6,2,2
3,5,3,3
6,9,2,2
13,15,5,6
6,9,2,2
1,2,1,2
2,2,2,2
2,3,2,4
3,3,3,4
3,3,4,4
2,3,2,4
3,3,3,4
3,3,4,4
2,6,1,2
