sentence_position,sentence_count,paragraph_position,paragraph_length
2,5,2,5
7,12,2,2
2,9,2,5
8,34,4,5
9,9,1,1
3,31,1,1
17,18,2,2
8,13,4,9
14,38,4,4
21,36,3,3
1,2,1,1
20,23,2,3
7,7,1,1
3,4,1,2
18,28,2,6
21,28,5,6
25,28,3,5
12,16,7,7
2,7,2,3
3,7,3,3
19,29,2,2
22,29,3,6
29,29,4,4
1,8,1,3
7,8,3,3
19,27,5,12
13,15,3,5
8,9,4,5
2,11,2,3
8,8,3,3
7,18,3,3
3,32,3,3
9,22,2,2
6,7,1,2
6,8,4,4
17,52,1,6
30,52,4,6
36,52,4,11
2,20,1,3
14,17,2,2
13,54,11,14
19,43,1,1
23,43,3,3
7,16,3,3
2,4,2,4
7,12,3,4
16,21,2,4
12,13,1,4
5,15,2,3
1,10,1,1
13,19,1,1
4,11,2,3
3,11,3,6
9,11,3,5
7,21,7,9
9,18,2,6
10,19,3,3
4,4,1,1
3,5,2,2
5,30,1,2
30,30,2,2
1,4,1,2
7,8,4,5
19,49,4,5
31,49,3,3
6,6,4,5
2,7,2,4
2,11,2,2
8,20,2,2
2,2,2,2
12,37,5,8
8,8,3,3
32,33,20,21
14,15,4,5
7,9,1,2
88,97,8,10
12,22,6,6
10,28,8,12
6,10,2,3
7,11,1,3
9,35,5,7
14,35,1,7
6,11,3,4
29,35,3,4
6,16,1,8
12,17,7,8
9,15,2,3
10,10,1,1
10,11,2,3
7,7,3,3
2,23,1,4
12,23,2,3
11,11,1,1
2,13,1,1
1,3,1,2
17,19,2,4
3,5,1,1
16,19,6,6
25,34,5,5
13,37,3,6
2,10,2,10
4,10,4,10
8,10,8,10
4,7,1,4
3,7,3,5
2,8,2,2
25,34,1,4
25,34,1,4
3,24,1,3
2,11,1,2
13,13,1,1
2,16,2,2
3,37,3,4
15,37,2,3
4,18,2,6
1,19,1,1
18,19,2,3
26,40,2,3
33,40,2,2
40,40,1,1
23,23,1,1
2,3,1,1
17,19,4,4
4,5,1,1
8,10,1,3
3,9,3,9
3,12,3,3
3,5,1,2
1,29,1,1
4,19,3,4
4,26,2,3
17,26,2,4
8,18,6,7
18,18,2,2
11,25,1,1
8,12,2,2
4,9,4,6
5,9,5,6
3,9,2,3
6,16,1,6
7,21,4,5
16,21,5,6
3,10,1,2
2,9,2,3
3,8,3,4
6,7,1,2
7,7,2,2
1,4,1,1
14,17,6,7
12,19,4,5
5,13,1,2
2,2,2,2
4,12,3,5
11,41,6,6
3,17,3,3
17,17,1,1
7,9,4,6
3,6,3,3
4,6,1,3
16,24,1,1
20,24,1,1
5,6,2,3
4,8,2,2
16,30,2,5
30,30,1,2
3,7,2,2
5,10,1,1
7,10,2,2
15,16,3,4
6,12,6,11
9,12,9,11
10,12,10,11
8,12,1,5
3,20,2,2
4,17,4,6
12,17,4,7
2,4,1,1
9,10,2,2
7,19,1,2
10,44,3,3
5,17,3,4
2,7,2,4
8,12,1,3
10,35,1,3
2,4,2,4
4,12,1,3
3,4,3,3
7,17,3,4
8,17,4,4
2,2,2,2
7,10,1,2
2,5,2,3
17,27,7,12
17,17,1,1
3,5,3,4
4,16,4,6
6,16,6,6
10,10,10,10
25,25,4,4
13,29,4,4
25,30,15,20
10,12,2,3
17,38,3,7
13,16,5,6
17,20,2,2
10,14,3,4
5,14,1,4
11,14,3,4
3,3,3,3
1,1,1,1
1,1,1,1
7,20,2,3
7,20,2,3
9,46,1,2
24,41,2,2
11,19,4,4
12,19,1,7
1,5,1,5
6,7,2,2
4,10,1,1
8,17,1,2
2,5,2,4
7,10,1,2
12,21,5,5
2,16,2,2
3,18,1,17
5,5,5,5
7,11,1,1
3,22,2,3
12,18,1,7
2,5,2,3
18,34,17,20
21,24,1,6
2,33,2,4
11,33,4,6
12,33,5,6
4,15,4,7
3,3,1,1
45,49,1,3
68,72,3,7
35,37,25,27
5,12,5,12
10,12,10,12
21,36,3,9
1,32,1,1
14,32,10,15
3,5,3,3
8,22,2,4
19,19,6,6
4,7,3,3
3,4,3,3
3,16,1,2
7,17,4,6
9,10,2,2
11,17,3,6
5,11,2,3
11,11,3,3
6,6,2,2
28,125,3,4
4,5,4,5
10,13,4,4
1,4,1,2
2,7,2,3
8,20,7,7
8,21,5,13
6,6,4,4
6,7,3,3
4,5,2,2
3,5,2,2
2,8,2,2
1,9,1,1
4,9,3,3
6,6,2,2
1,4,1,1
2,10,2,2
1,16,1,4
9,16,1,2
15,15,9,9
20,23,6,6
23,23,2,3
1,6,1,1
2,10,2,3
23,23,1,2
5,9,5,9
15,16,4,5
8,23,8,9
3,29,3,3
14,21,2,2
14,27,3,3
11,11,1,1
9,14,2,2
14,14,3,3
2,15,2,3
4,7,3,3
8,8,8,8
4,7,1,1
19,40,1,4
26,40,4,10
16,47,4,7
5,10,2,2
4,6,1,1
12,16,1,3
13,13,2,2
2,9,2,2
6,9,5,8
6,15,2,5
4,31,4,4
4,7,1,1
2,20,2,4
32,53,2,4
48,53,2,2
21,21,3,3
10,12,2,4
6,84,2,12
9,84,5,12
83,84,7,8
8,12,1,4
30,30,1,1
1,4,1,2
10,14,3,4
11,14,4,4
